priority,target_name,target_url,contact_url_or_method,pitch_page,template,why_it_fits,status
1,This Mama Loves,https://www.thismamaloves.com/snow-day-survival-guide-for-parents/,https://thismamaloves.godaddysites.com/contact,https://www.winterdaycalculator.com/guides/preparing-for-snow-days,Template 2,Parent snow day survival article with a natural family planning fit,Not contacted
2,Printable Parents,https://printableparents.com/be-prepared-for-snow-days-with-kids-free-printable/,Use site contact page or social contact,https://www.winterdaycalculator.com/guides/what-parents-should-check-before-6-am,Template 4,Parent printable audience already interested in snow day preparation,Not contacted
3,Parenting To Go,https://www.parentingtogo.ca/snow-day-activities/,Use site contact page or media email,https://www.winterdaycalculator.com/guides/preparing-for-snow-days,Template 2,Canadian parenting audience with snow day content,Not contacted
4,Akron Ohio Moms,https://www.akronohiomoms.com/life-family/what-we-did-on-our-snow-day/,Use site contact page or author contact,https://www.winterdaycalculator.com/prediction/akron-oh,Template 5,Local Ohio parent blog and relevant city page exists,Not contacted
5,Ocean State Media,https://www.oceanstatemedia.org/education/snowed-in-your-blizzard-survival-guide-for-kids,Use Contact Us page,https://www.winterdaycalculator.com/guides/what-parents-should-check-before-6-am,Template 4,Family winter resource with education angle,Not contacted
6,CEL Marketing PR Design,https://www.celpr.com/closing-school-for-snow/,Use Contact Us page,https://www.winterdaycalculator.com/guides/how-schools-decide-snow-days,Template 1,School communication article where district decision guide fits,Not contacted
7,TeachersFirst Snow Day Resources,https://teachersfirst.org/spectopics/snowday.cfm,Use site contact/editorial form,https://www.winterdaycalculator.com/guides/preparing-for-snow-days,Template 1,Teacher resource page may consider useful winter planning resources,Not contacted
8,North Clackamas School District Extreme Weather,https://www.nclack.k12.or.us/departments/community-engagement/communication-resources/school-closure-information,Use district communications contact,https://www.winterdaycalculator.com/guides/official-school-closing-alerts,Template 6,Official closure info page; pitch only as an external planning tool,Not contacted
9,Arlington Public Schools Winter Weather FAQ,https://www.apsva.us/health-safety/emergency-alerts/winter-weather-faq/,Use district web/contact form,https://www.winterdaycalculator.com/guides/official-school-closing-alerts,Template 6,Official FAQ explains alerts and confirmation methods,Not contacted
10,Red Cross Winter Storm Safety,https://www.redcross.org/winterstorm,Use local chapter contact or resource suggestion,https://www.winterdaycalculator.com/guides/winter-storm-warning-watch-advisory,Template 3,Winter safety resource where alert meanings are relevant,Not contacted
11,University of Wisconsin Oshkosh Winter Weather Safety,https://www.uwosh.edu/facilities/campus-information/winter-weather-safety/,Use page contact details,https://www.winterdaycalculator.com/guides/winter-storm-warning-watch-advisory,Template 3,Campus winter safety resource with alert and planning overlap,Not contacted
12,Milton Academy Winter Weather,https://www.milton.edu/news/winter-weather/,Use school communications contact,https://www.winterdaycalculator.com/guides/official-school-closing-alerts,Template 6,School winter safety page; only pitch as planning context,Not contacted
